CLASSE,Hue,Saturation,Value,Vibration,Metal
Madeira,26.51,53.75,31.37,0.81,0
Madeira,23.57,58.95,37.25,2.04,0
Madeira,25.71,52.50,31.37,3.15,0
Madeira,24.26,52.81,34.90,3.39,0
Madeira,22.35,57.95,34.51,8.03,0
Madeira,25.50,50.00,31.37,7.15,0
Madeira,21.43,57.73,38.04,7.28,0
Madeira,25.91,54.32,31.76,7.03,0
Madeira,27.00,49.38,31.76,6.36,0
Madeira,23.16,59.38,37.65,12.23,0
Madeira,25.71,52.50,31.37,12.94,0
Madeira,25.33,51.72,34.12,15.81,0
Madeira,24.71,57.30,34.90,17.79,0
Madeira,25.71,52.50,31.37,15.59,0
Madeira,22.64,56.38,36.86,13.99,0
Madeira,24.78,55.42,32.55,12.68,0
Madeira,27.69,48.75,31.37,10.86,0
Madeira,22.11,58.76,38.04,9.97,0
Madeira,25.71,52.50,31.37,9.97,0
Madeira,25.12,50.59,33.33,9.68,0
Madeira,23.77,57.61,36.08,8.30,0
Madeira,25.71,52.50,31.37,8.65,0
Madeira,22.04,53.85,35.69,8.29,0
Madeira,22.91,58.51,36.86,9.97,0
Madeira,26.51,53.75,31.37,11.59,0
Madeira,22.98,52.81,34.90,10.68,0
Madeira,22.50,58.95,37.25,9.36,0
Madeira,26.51,53.75,31.37,7.95,0
Madeira,23.48,52.27,34.51,8.14,0
Madeira,22.50,58.95,37.25,8.81,0
Madeira,25.71,52.50,31.37,8.86,0
Madeira,24.78,52.27,34.51,9.87,0
Madeira,24.23,58.43,34.90,9.41,0
Madeira,25.71,52.50,31.37,9.21,0
Madeira,21.92,55.32,36.86,10.92,0
Madeira,24.71,57.30,34.90,10.92,0
Madeira,26.51,53.75,31.37,9.87,0
Madeira,23.08,55.91,36.47,9.51,0
Madeira,24.00,54.22,32.55,10.79,0
Madeira,26.15,48.75,31.37,13.13,0
Madeira,22.50,58.33,37.65,11.46,0
Madeira,26.51,53.75,31.37,12.06,0
Madeira,25.71,50.00,32.94,14.47,0
Madeira,23.33,58.70,36.08,12.54,0
Madeira,26.51,53.75,31.37,11.63,0
Madeira,24.00,54.95,35.69,9.94,0
Madeira,23.33,58.06,36.47,8.89,0
Madeira,25.71,52.50,31.37,8.26,0
Madeira,24.49,54.44,35.29,7.52,0
Madeira,23.27,56.98,33.73,8.64,0
Madeira,25.50,50.00,31.37,8.52,0
Madeira,21.82,57.29,37.65,9.69,0
Madeira,27.27,54.32,31.76,10.75,0
Madeira,24.88,50.62,31.76,9.86,0
Madeira,21.82,57.29,37.65,14.35,0
Madeira,25.12,53.09,31.76,17.51,0
Madeira,26.15,48.15,31.76,16.61,0
Madeira,20.69,60.42,37.65,19.43,0
Madeira,25.71,52.50,31.37,18.67,0
Madeira,24.23,55.91,36.47,17.12,0
Madeira,23.08,58.43,34.90,15.17,0
Madeira,24.88,51.25,31.37,14.35,0
Madeira,22.91,57.89,37.25,13.92,0
Madeira,26.51,53.75,31.37,11.55,0
Madeira,26.51,50.59,33.33,11.13,0
Madeira,23.33,58.70,36.08,16.70,0
Madeira,26.51,53.75,31.37,15.32,0
