CLASSE,Hue,Saturation,Value,Vibration,Metal
Metal,172.80,14.88,65.88,3.29,1253
Metal,185.45,20.12,64.31,5.91,0
Metal,183.87,19.14,63.53,6.17,0
Metal,185.62,19.63,63.92,9.36,0
Metal,185.62,19.63,63.92,9.66,1593
Metal,181.94,18.90,64.31,8.58,22
Metal,170.77,15.48,65.88,8.34,0
Metal,170.00,14.04,67.06,8.36,0
Metal,172.50,14.04,67.06,7.75,0
Metal,177.39,13.53,66.67,9.95,0
Metal,182.50,14.46,65.10,10.17,64
Metal,185.81,18.90,64.31,8.79,2425
Metal,185.62,19.63,63.92,7.57,175
Metal,183.75,19.63,63.92,7.35,0
Metal,185.62,19.63,63.92,6.68,0
Metal,185.62,19.63,63.92,8.81,0
Metal,177.50,14.55,64.71,8.73,0
Metal,163.85,15.20,67.06,7.89,612
Metal,170.00,14.04,67.06,7.00,3263
Metal,174.29,12.28,67.06,6.72,0
Metal,175.20,14.88,65.88,6.18,0
Metal,169.57,13.45,67.06,7.10,0
Metal,185.62,19.63,63.92,7.96,0
Metal,185.62,19.63,63.92,8.43,0
Metal,187.27,20.12,64.31,8.30,578
Metal,182.14,17.07,64.31,8.48,3328
Metal,170.77,15.38,66.27,7.26,0
Metal,175.00,14.04,67.06,6.78,0
Metal,170.00,14.04,67.06,6.69,0
Metal,172.80,14.71,66.67,5.81,0
Metal,180.00,15.85,64.31,4.93,0
Metal,181.87,19.63,63.92,4.52,627
Metal,183.75,19.63,63.92,5.68,3414
Metal,185.62,19.63,63.92,6.32,0
Metal,185.62,19.63,63.92,5.25,0
Metal,183.87,19.02,63.92,6.15,0
Metal,172.80,14.97,65.49,6.60,0
Metal,170.00,14.04,67.06,6.02,0
Metal,172.50,14.04,67.06,5.23,1281
Metal,167.50,14.04,67.06,4.53,894
Metal,175.38,15.66,65.10,6.70,0
Metal,183.87,19.02,63.92,6.50,0
Metal,185.62,19.63,63.92,6.20,0
Metal,185.62,19.63,63.92,6.02,0
Metal,185.62,19.63,63.92,6.65,0
Metal,183.75,19.63,63.92,6.38,1536
Metal,177.60,15.15,64.71,6.34,770
Metal,167.50,14.04,67.06,5.28,0
Metal,167.50,14.04,67.06,6.29,0
Metal,170.00,14.04,67.06,5.63,0
Metal,177.60,14.97,65.49,5.61,0
Metal,182.00,18.29,64.31,5.31,0
Metal,183.87,19.14,63.53,5.65,799
Metal,185.62,19.63,63.92,6.72,2347
Metal,183.64,20.12,64.31,6.26,0
Metal,185.62,19.63,63.92,5.61,0
Metal,177.78,16.36,64.71,6.39,0
Metal,172.50,14.29,65.88,5.57,0
Metal,165.00,14.04,67.06,5.27,0
Metal,177.50,14.04,67.06,5.22,1593
Metal,170.00,14.29,65.88,6.74,548
Metal,177.86,16.97,64.71,6.61,0
Metal,185.62,19.63,63.92,5.73,0
Metal,187.27,20.12,64.31,7.75,0
Metal,185.45,20.12,64.31,10.20,0
Metal,185.62,19.63,63.92,9.32,0
Metal,182.07,17.68,64.31,9.23,1542
Metal,175.38,15.48,65.88,9.43,426
Metal,165.00,14.04,67.06,8.88,0
Metal,167.50,14.04,67.06,7.51,0
Metal,170.00,14.20,66.27,7.06,0
Metal,177.78,16.36,64.71,6.45,0
Metal,185.62,19.63,63.92,6.46,1184
Metal,181.87,19.63,63.92,6.51,2082
Metal,187.27,20.12,64.31,7.44,0
