CLASSE,Hue,Saturation,Value,Vibration,Metal
Tecido,352.31,100.00,45.88,3.62,0
Tecido,353.59,100.00,51.37,4.00,0
Tecido,349.83,100.00,46.27,4.05,0
Tecido,355.74,92.76,59.61,4.44,0
Tecido,353.00,100.00,47.06,4.32,0
Tecido,351.28,98.32,46.67,4.57,0
Tecido,355.25,92.67,58.82,4.70,0
Tecido,353.23,100.00,48.63,4.36,0
Tecido,349.23,100.00,45.88,4.28,0
Tecido,356.22,93.46,60.00,3.96,0
Tecido,352.94,100.00,46.67,4.09,0
Tecido,350.92,97.54,47.84,4.14,0
Tecido,355.77,93.42,59.61,4.17,0
Tecido,353.00,100.00,47.06,4.55,0
Tecido,350.85,99.16,46.67,4.16,0
Tecido,355.74,92.76,59.61,4.79,0
Tecido,353.23,100.00,48.63,4.37,0
Tecido,348.81,100.00,46.27,4.32,0
Tecido,356.22,93.46,60.00,3.75,0
Tecido,352.94,100.00,46.67,3.63,0
Tecido,350.85,100.00,46.27,3.19,0
Tecido,355.25,92.67,58.82,2.93,0
Tecido,353.28,100.00,52.55,2.81,0
Tecido,351.36,100.00,46.27,2.49,0
Tecido,355.18,92.57,58.04,2.30,0
Tecido,354.71,98.55,54.12,3.33,0
Tecido,352.37,100.00,46.27,3.10,0
Tecido,354.63,93.06,56.47,3.78,0
Tecido,355.29,97.22,56.47,4.04,0
Tecido,352.88,100.00,46.27,4.82,0
Tecido,354.05,93.57,54.90,4.24,0
Tecido,355.74,95.92,57.65,3.67,0
Tecido,352.88,100.00,46.27,3.61,0
Tecido,353.59,94.24,54.51,3.36,0
Tecido,356.25,94.74,59.61,2.87,0
Tecido,352.82,100.00,45.88,2.33,0
Tecido,352.38,95.45,51.76,2.12,0
Tecido,356.22,93.46,60.00,1.99,0
Tecido,352.82,100.00,45.88,1.79,0
Tecido,351.57,96.80,49.02,2.03,0
Tecido,355.74,93.38,59.22,1.96,0
Tecido,352.94,100.00,46.67,1.81,0
Tecido,350.92,98.35,47.45,1.66,0
Tecido,355.77,92.81,60.00,3.04,0
Tecido,353.06,100.00,47.45,3.51,0
Tecido,350.92,100.00,46.67,4.42,0
Tecido,355.29,92.72,59.22,4.06,0
Tecido,353.39,100.00,49.80,3.72,0
Tecido,351.36,100.00,46.27,3.70,0
Tecido,355.25,92.67,58.82,3.26,0
Tecido,353.28,100.00,52.55,3.22,0
Tecido,351.86,100.00,46.27,3.61,0
Tecido,354.74,93.20,57.65,3.19,0
Tecido,355.15,97.84,54.51,3.16,0
Tecido,352.37,100.00,46.27,2.70,0
Tecido,354.59,93.01,56.08,2.47,0
Tecido,355.71,96.55,56.86,2.66,0
Tecido,352.88,100.00,46.27,2.60,0
Tecido,354.05,93.57,54.90,2.52,0
Tecido,355.77,95.30,58.43,3.20,0
Tecido,352.94,100.00,46.67,3.49,0
